ticker,company_name,market,watch_reason,ideal_entry,trigger_condition,invalidation,risk_notes,priority
035420,NAVER,KRX,AI검색 전환+클라우드 성장,170000,클라우드 매출 YoY 30%+,광고 매출 3분기 연속 역성장,라인야후 지배구조,2
035720,카카오,KRX,플랫폼 정상화+밸류 저점,35000,영업이익 흑자전환 확인,규제 리스크 재확대,오버행 리스크,3
MSFT,Microsoft,NASDAQ,Azure 성장 재가속,380,Azure 성장률 30%+ 복귀,AI 수익화 지연,밸류에이션 부담,1
GOOGL,Alphabet,NASDAQ,광고+클라우드 이중 성장,155,GCP 점유율 상승 확인,AI 검색 점유율 잠식,반독점 규제,1
000270,기아,KRX,현대차 대비 밸류 디스카운트,80000,PBR 0.8 이하+자사주 소각,미국 판매 부진,관세 리스크,2
CVX,Chevron,NYSE,XOM 보완+배당 안정성,145,WTI 70달러 이상 안정,카자흐스탄 생산 차질,인수합병 불확실성,3
012330,"Hyundai Mobis Co.,Ltd",KRX,"Hyundai Mobis Co.,Ltd 밸류/성장 모니터링",427000.0,"가격 427,000원 부근 지지 + 거래량 증가 확인",핵심 사업 성장 둔화 또는 분기 실적 가이던스 하향,정책/규제 이슈 및 밸류에이션 부담,3
003690,Korean RE,KRX,Korean Reinsurance Company 밸류/성장 모니터링,12310.0,"가격 12,310원 부근 지지 + 거래량 증가 확인",핵심 사업 성장 둔화 또는 분기 실적 가이던스 하향,정책/규제 이슈 및 밸류에이션 부담,3
207940,"Samsung Biologics Co.,Ltd.",KRX,"Samsung Biologics Co.,Ltd. 밸류/성장 모니터링",1601000.0,"가격 1,601,000원 부근 지지 + 거래량 증가 확인",핵심 사업 성장 둔화 또는 분기 실적 가이던스 하향,정책/규제 이슈 및 밸류에이션 부담,3
051910,"LG Chem, Ltd.",KRX,"LG Chem, Ltd. 밸류/성장 모니터링",360000.0,"가격 360,000원 부근 지지 + 거래량 증가 확인",핵심 사업 성장 둔화 또는 분기 실적 가이던스 하향,정책/규제 이슈 및 밸류에이션 부담,3
005930,005930,KRX,반도체 산업 리더로 장기 성장 기대,210000,5% 이상 조정 후 반등 신호 확인,200000 하락 시 공급 과잉 우려 증대,글로벌 경기 둔화,1
