ticker,company_name,market,holding_status,quantity,avg_cost,currency,target_weight,thesis,risk_notes,priority
000660,SK하이닉스,KRX,active,50,185000,KRW,0.10,HBM3E 점유율 확대,AI 수요 둔화시 밸류 재조정,1
005380,현대차,KRX,active,30,210000,KRW,0.08,EV전환+주주환원 확대,미국 관세 리스크,2
105560,KB금융,KRX,active,80,82000,KRW,0.08,고금리 수혜+배당성향 확대,부동산 PF 리스크,2
JPM,JPMorgan Chase,NYSE,active,15,195.5,USD,0.10,글로벌 금융 프랜차이즈+자본배분,경기침체시 대손 증가,1
UNH,UnitedHealth Group,NYSE,active,8,520.0,USD,0.10,헬스케어 플랫폼 독점적 지위,정책 규제 리스크,1
XOM,ExxonMobil,NYSE,active,20,112.0,USD,0.08,자유현금흐름+주주환원,유가 변동성,2
BRK.B,Berkshire Hathaway B,NYSE,active,25,385.0,USD,0.10,복합 가치투자+현금 보유력,승계 리스크 장기,3
CASH_KRW,현금(원화),KRX,cash,0,1,KRW,0.08,유동성 확보,,5
CASH_USD,현금(달러),NYSE,cash,0,1,USD,0.09,환헤지+기회비용,,5
000270,기아,KRX,active,0,0.0,KRW,0.0,"핵심 가설: 현대차 대비 밸류 디스카운트 | 진입 관찰 포인트: 가격 159,200원 부근 지지 + 거래량 증가 확인 | 무효화 조건: 핵심 사업 성장 둔화 또는 분기 실적 가이던스 하향",관세 리스크,2
035720,카카오,KRX,active,0,0.0,KRW,0.0,"핵심 가설: 플랫폼 정상화+밸류 저점 | 진입 관찰 포인트: 가격 50,000원 부근 지지 + 거래량 증가 확인 | 무효화 조건: 핵심 사업 성장 둔화 또는 분기 실적 가이던스 하향",오버행 리스크,3
003690,Korean RE,KRX,active,0,0.0,KRW,0.0,"핵심 가설: Korean Reinsurance Company 밸류/성장 모니터링 | 진입 관찰 포인트: 가격 12,310원 부근 지지 + 거래량 증가 확인 | 무효화 조건: 핵심 사업 성장 둔화 또는 분기 실적 가이던스 하향",정책/규제 이슈 및 밸류에이션 부담,3
051910,"LG Chem, Ltd.",KRX,active,0,0.0,KRW,0.0,"핵심 가설: LG Chem, Ltd. 밸류/성장 모니터링 | 진입 관찰 포인트: 가격 360,000원 부근 지지 + 거래량 증가 확인 | 무효화 조건: 핵심 사업 성장 둔화 또는 분기 실적 가이던스 하향",정책/규제 이슈 및 밸류에이션 부담,3
MSFT,Microsoft,NASDAQ,,,,USD,,Azure 성장 재가속,밸류에이션 부담,1
207940,"Samsung Biologics Co.,Ltd.",KRX,,,,KRW,,"Samsung Biologics Co.,Ltd. 밸류/성장 모니터링",정책/규제 이슈 및 밸류에이션 부담,3
